submission_date,STATE,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
4/16/21,New York,1085444,,,3129,0,19141,,,19,0,4/17/21 13:58,Not agree,Not agree
4/16/21,West Virginia,148071,116815,31256,475,107,2777,,,5,0,4/17/21 13:58,Agree,Not agree
4/16/21,Maine,56939,42807,14132,413,185,764,740,24,1,0,4/17/21 13:58,Agree,Agree
4/16/21,Michigan,867624,779777,87847,9850,895,17858,16771,1087,41,1,4/17/21 13:58,Agree,Agree
4/16/21,Arizona,852570,791160,61410,845,70,17153,15222,1931,30,3,4/17/21 13:58,Agree,Agree
4/16/21,Idaho,184769,148276,36493,212,39,2017,1757,260,2,0,4/17/21 13:58,Agree,Agree
4/16/21,South Carolina,567280,474222,93058,1248,401,9309,,,2,0,4/17/21 13:58,Agree,Not agree
4/16/21,Virginia,644828,502101,142727,1608,433,10564,8865,1699,15,3,4/17/21 13:58,Agree,Agree
4/16/21,New Hampshire,90910,,,385,154,1266,,,2,1,4/17/21 13:58,Not agree,Not agree
4/16/21,Illinois,1296381,1296381,0,3866,0,23920,21630,2290,24,3,4/17/21 13:58,Agree,Agree
4/16/21,Louisiana,451955,,,479,158,10282,9392,890,9,5,4/17/21 13:58,Not agree,Agree
4/16/21,Missouri,576952,,,373,179,8635,,,1,0,4/17/21 9:58,Not agree,Not agree
4/16/21,Rhode Island,144149,,,409,0,2647,,,1,0,4/17/21 13:58,Not agree,N/A
4/16/21,Kentucky,436445,330855,105590,702,295,6317,5711,606,10,3,4/17/21 13:58,Agree,Agree
4/16/21,Alabama,521623,404892,116731,422,161,10739,8456,2283,3,0,4/17/21 13:58,Agree,Agree
4/15/21,Rhode Island,143740,,,489,0,2646,,,4,0,4/16/21 14:12,Not agree,N/A
4/15/21,Mississippi,308737,188966,119771,216,106,7139,4932,2207,6,6,4/16/21 14:12,Agree,Agree
4/15/21,Michigan,857774,770822,86952,7191,888,17817,16731,1086,42,11,4/16/21 14:12,Agree,Agree
4/15/21,Virginia,643220,500926,142294,1594,343,10549,8853,1696,20,3,4/16/21 14:12,Agree,Agree
4/15/21,Maine,56526,42579,13947,573,179,763,739,24,5,0,4/16/21 14:12,Agree,Agree
4/15/21,Delaware,99915,93488,6427,400,66,1595,1455,140,4,0,4/16/21 14:12,Agree,Agree
4/15/21,Alabama,521201,404631,116570,421,191,10736,8453,2283,8,1,4/16/21 14:12,Agree,Agree
4/15/21,Idaho,184557,148103,36454,210,57,2015,1755,260,9,1,4/16/21 14:12,Agree,Agree
4/15/21,Washington,381725,,,1386,200,5362,,,5,0,4/16/21 14:12,N/A,N/A
4/15/21,California,3608898,,,2016,0,59508,,,136,0,4/16/21 14:12,Not agree,Not agree
